co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
347858,ENFERMAGEM,UFMA,Pinheiro,MA,672.08,679.22,683.1
347870,ENFERMAGEM,UFMA,Imperatriz,MA,684.24,687.84,690.92
347820,ENFERMAGEM,UFMA,São Luís,MA,694.02,698.94,702.24
361041,ENFERMAGEM,UFMG,Belo Horizonte,MG,735.54,735.32,736.62
366562,ENFERMAGEM,UFMS,Coxim,MS,715.79,719.36,740.64
366511,ENFERMAGEM,UFMS,Campo Grande,MS,784.36,784.36,784.36
366524,ENFERMAGEM,UFMS,Três Lagoas,MS,785.23,785.23,785.23
365220,ENFERMAGEM,UFMT,Pontal do Araguaia,MT,656.48,667.34,674.02
365213,ENFERMAGEM,UFMT,Sinop,MT,665.12,672.2,677.16
365192,ENFERMAGEM,UFMT,Cuiabá,MT,677.8,684.04,690.36
354491,ENFERMAGEM,UFPB,João Pessoa,PB,700.02,706.66,710.44
364159,ENFERMAGEM,UFPE,Vitória de Santo Antão,PE,670.86,677.97,680.17
364105,ENFERMAGEM,UFPE,Recife,PE,724.74,726.27,729.59
360935,ENFERMAGEM,UFPEL,Pelotas,RS,689.68,694.08,693.62
368127,ENFERMAGEM,UFPI,Picos,PI,661.72,667.73,667.73
368182,ENFERMAGEM,UFPI,Floriano,PI,664.63,661.98,667.58
367564,ENFERMAGEM,UFPI,Teresina,PI,697.37,703.04,710.13
356043,ENFERMAGEM,UFR,Rondonópolis,MT,668.68,671.44,672.26
345826,ENFERMAGEM,UFRA,Parauapebas,PA,746.4,746.93,747.73
347397,ENFERMAGEM,UFRB,Santo Antônio de Jesus,BA,680.88,681.82,690.68
350173,ENFERMAGEM,UFRGS,Porto Alegre,RS,684.75,691.03,688.5
358978,ENFERMAGEM,UFRJ,Rio de Janeiro,RJ,732.74,738.27,736.89
359056,ENFERMAGEM,UFRJ,Macaé,RJ,745.06,753.51,756.36
367999,ENFERMAGEM,UFRN,Santa Cruz,RN,665.22,673.22,674.65
367945,ENFERMAGEM,UFRN,Natal,RN,691.61,695.57,697.52
346039,ENFERMAGEM,UFRR,Boa Vista,RR,690.73,692.13,692.13
365415,ENFERMAGEM,UFS,Lagarto,SE,713.31,714.66,719.37
365329,ENFERMAGEM,UFS,Aracaju,SE,720.04,726.75,728.63
344231,ENFERMAGEM,UFSC,Florianópolis,SC,741.38,749.13,752.67
365682,ENFERMAGEM,UFSCAR,São Carlos,SP,734.35,738.08,739.24
363597,ENFERMAGEM,UFSJ,Divinópolis,MG,690.66,694.12,693.5
361867,ENFERMAGEM,UFSM,Palmeira das Missões,RS,700.34,702.88,706.8
361829,ENFERMAGEM,UFSM,Santa Maria,RS,722.18,727.96,733.56
367308,ENFERMAGEM,UFT,Palmas,TO,730.49,718.24,717.11
355077,ENFERMAGEM,UFTM,Uberaba,MG,730.03,734.49,744.3
368640,ENFERMAGEM,UFV,Viçosa,MG,708.46,712.72,712.26
367940,ENFERMAGEM,UFVJM,Diamantina,MG,723.95,710.86,710.86
365976,ENFERMAGEM,UNDF,Brasília,DF,711.2,711.27,714.76
366818,ENFERMAGEM,UNEB,Guanambi,BA,690.2,697.38,707.13
366834,ENFERMAGEM,UNEB,Senhor do Bonfim,BA,699.58,704.96,704.96
356456,ENFERMAGEM,UNEMAT,Tangará da Serra,MT,639.89,658.39,657.89
356449,ENFERMAGEM,UNEMAT,Diamantino,MT,648.49,653.61,661.28
356432,ENFERMAGEM,UNEMAT,Cáceres,MT,655.55,664.96,665.92
367363,ENFERMAGEM,UNESPAR,Paranavaí,PR,684.67,688.59,710.81
345910,ENFERMAGEM,UNICENTRO,Guarapuava,PR,678.68,677.79,682.57
342871,ENFERMAGEM,UNIFAL-MG,Alfenas,MG,710.34,721.78,724.06
360522,ENFERMAGEM,UNIFESP,São Paulo,SP,753.37,754.56,756.13
353935,ENFERMAGEM,UNILAB,Redenção,CE,736.12,736.12,740.63
345052,ENFERMAGEM,UNIMONTES,Montes Claros,MG,708.27,715.41,718.79
353520,ENFERMAGEM,UNIOESTE,Foz do Iguaçu,PR,710.89,716.43,723.19
353485,ENFERMAGEM,UNIOESTE,Cascavel,PR,724.86,723.98,723.98
347041,ENFERMAGEM,UNIPAMPA,Uruguaiana,RS,672.16,673.08,677.4
364475,ENFERMAGEM,UNIRIO,Rio de Janeiro,RJ,722.07,727.87,732.19
361592,ENFERMAGEM,UNIVASF,Petrolina,PE,718.9,719.8,715.64
353636,ENFERMAGEM,UPE,Ouricuri,PE,678.12,681.1,681.12
353608,ENFERMAGEM,UPE,Petrolina,PE,698.84,695.58,698.66
353576,ENFERMAGEM,UPE,Recife,PE,700.42,701.58,701.52
