co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
354510,CIÊNCIAS CONTÁBEIS,UFPB,João Pessoa,PB,643.58,649.32,652.76
363934,CIÊNCIAS CONTÁBEIS,UFPE,Recife,PE,698.24,700.64,705.37
363933,CIÊNCIAS CONTÁBEIS,UFPE,Recife,PE,706.65,709.99,719.07
368092,CIÊNCIAS CONTÁBEIS,UFPI,Teresina,PI,676.72,678.66,682.26
368085,CIÊNCIAS CONTÁBEIS,UFPI,Teresina,PI,688.11,685.82,688.11
367044,CIÊNCIAS CONTÁBEIS,UFPR,Curitiba,PR,712.16,719.24,717.52
356217,CIÊNCIAS CONTÁBEIS,UFR,Rondonópolis,MT,605.2,605.2,607.96
345839,CIÊNCIAS CONTÁBEIS,UFRA,Tomé-Açu,PA,688.75,689.68,688.17
349546,CIÊNCIAS CONTÁBEIS,UFRA,Capanema,PA,706.1,717.08,706.1
345641,CIÊNCIAS CONTÁBEIS,UFRA,Paragominas,PA,712.13,712.13,708.63
350165,CIÊNCIAS CONTÁBEIS,UFRGS,Porto Alegre,RS,708.13,708.13,711.33
358959,CIÊNCIAS CONTÁBEIS,UFRJ,Rio de Janeiro,RJ,713.94,718.18,721.59
359087,CIÊNCIAS CONTÁBEIS,UFRJ,Rio de Janeiro,RJ,714.24,722.52,725.34
367965,CIÊNCIAS CONTÁBEIS,UFRN,Caicó,RN,633.41,636.05,645.66
367651,CIÊNCIAS CONTÁBEIS,UFRN,Natal,RN,659.46,666.41,667.28
367650,CIÊNCIAS CONTÁBEIS,UFRN,Natal,RN,665.75,668.25,672.74
346069,CIÊNCIAS CONTÁBEIS,UFRR,Boa Vista,RR,630.49,632.91,640.63
369263,CIÊNCIAS CONTÁBEIS,UFRRJ,Seropédica,RJ,670.62,677.95,684.1
365377,CIÊNCIAS CONTÁBEIS,UFS,Itabaiana,SE,676.08,671.44,671.44
365332,CIÊNCIAS CONTÁBEIS,UFS,São Cristóvão,SE,680.46,681.21,685.15
344291,CIÊNCIAS CONTÁBEIS,UFSC,Florianópolis,SC,727.69,733.29,736.6
344172,CIÊNCIAS CONTÁBEIS,UFSC,Florianópolis,SC,733.03,728.53,746.87
363582,CIÊNCIAS CONTÁBEIS,UFSJ,São João del Rei,MG,659.29,664.16,678.09
361853,CIÊNCIAS CONTÁBEIS,UFSM,Santa Maria,RS,725.97,738.58,748.72
361621,CIÊNCIAS CONTÁBEIS,UFSM,Santa Maria,RS,746.32,734.0,746.32
367286,CIÊNCIAS CONTÁBEIS,UFT,Palmas,TO,681.88,684.85,691.88
362205,CIÊNCIAS CONTÁBEIS,UFU,Ituiutaba,MG,664.55,682.23,687.08
362185,CIÊNCIAS CONTÁBEIS,UFU,Uberlândia,MG,696.93,701.63,704.55
362184,CIÊNCIAS CONTÁBEIS,UFU,Uberlândia,MG,705.99,706.64,705.77
368647,CIÊNCIAS CONTÁBEIS,UFV,Rio Paranaíba,MG,630.38,632.0,634.24
368623,CIÊNCIAS CONTÁBEIS,UFV,Viçosa,MG,686.72,689.62,694.04
368396,CIÊNCIAS CONTÁBEIS,UFVJM,Teófilo Otoni,MG,663.54,670.99,682.93
346226,CIÊNCIAS CONTÁBEIS,UNEAL,São Miguel dos Campos,AL,624.82,632.07,646.45
346256,CIÊNCIAS CONTÁBEIS,UNEAL,Arapiraca,AL,683.67,696.63,698.08
366961,CIÊNCIAS CONTÁBEIS,UNEB,Bom Jesus da Lapa,BA,629.38,654.86,654.86
366809,CIÊNCIAS CONTÁBEIS,UNEB,Senhor do Bonfim,BA,686.03,687.21,716.21
366713,CIÊNCIAS CONTÁBEIS,UNEB,Salvador,BA,689.37,692.33,697.49
366712,CIÊNCIAS CONTÁBEIS,UNEB,Salvador,BA,692.63,694.21,697.39
366716,CIÊNCIAS CONTÁBEIS,UNEB,Barreiras,BA,700.75,701.56,701.56
356458,CIÊNCIAS CONTÁBEIS,UNEMAT,Nova Mutum,MT,507.6,556.35,577.79
356264,CIÊNCIAS CONTÁBEIS,UNEMAT,Tangará da Serra,MT,577.79,592.04,592.04
356262,CIÊNCIAS CONTÁBEIS,UNEMAT,Cáceres,MT,603.31,614.94,617.09
356444,CIÊNCIAS CONTÁBEIS,UNEMAT,Sinop,MT,624.65,637.2,637.01
367608,CIÊNCIAS CONTÁBEIS,UNESPAR,Apucarana,PR,580.9,628.34,639.25
367362,CIÊNCIAS CONTÁBEIS,UNESPAR,Paranavaí,PR,600.81,616.24,625.58
367569,CIÊNCIAS CONTÁBEIS,UNESPAR,Campo Mourão,PR,605.95,617.99,625.06
367583,CIÊNCIAS CONTÁBEIS,UNESPAR,Paranaguá,PR,652.61,649.95,681.71
367609,CIÊNCIAS CONTÁBEIS,UNESPAR,Apucarana,PR,653.43,664.68,664.68
345905,CIÊNCIAS CONTÁBEIS,UNICENTRO,Prudentópolis,PR,616.2,631.82,612.53
345917,CIÊNCIAS CONTÁBEIS,UNICENTRO,Irati,PR,643.63,643.63,648.51
342901,CIÊNCIAS CONTÁBEIS,UNIFAL-MG,Varginha,MG,670.68,685.82,685.82
342885,CIÊNCIAS CONTÁBEIS,UNIFAL-MG,Varginha,MG,698.0,698.0,698.0
360715,CIÊNCIAS CONTÁBEIS,UNIFESP,Osasco,SP,735.87,740.44,745.92
360714,CIÊNCIAS CONTÁBEIS,UNIFESP,Osasco,SP,744.12,747.81,747.92
350263,CIÊNCIAS CONTÁBEIS,UNIFESSPA,Rondon do Pará,PA,625.5,637.04,635.7
353942,CIÊNCIAS CONTÁBEIS,UNILAB,Redenção,CE,716.41,721.16,722.22
345106,CIÊNCIAS CONTÁBEIS,UNIMONTES,Salinas,MG,664.55,681.96,682.13
345050,CIÊNCIAS CONTÁBEIS,UNIMONTES,Montes Claros,MG,694.24,693.71,694.24
345096,CIÊNCIAS CONTÁBEIS,UNIMONTES,Montes Claros,MG,708.61,707.74,706.91
353492,CIÊNCIAS CONTÁBEIS,UNIOESTE,Marechal Cândido Rondon,PR,634.19,649.99,652.28
353499,CIÊNCIAS CONTÁBEIS,UNIOESTE,Foz do Iguaçu,PR,665.98,679.33,679.33
353384,CIÊNCIAS CONTÁBEIS,UNIOESTE,Cascavel,PR,677.43,684.11,686.24
364334,CIÊNCIAS CONTÁBEIS,UTFPR,Pato Branco,PR,649.88,658.58,664.5
