co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01
365211,MEDICINA VETERINÁRIA,UFMT,Sinop,MT,682.84,691.34,695.64,
365198,MEDICINA VETERINÁRIA,UFMT,Cuiabá,MT,699.16,704.04,709.52,
343223,MEDICINA VETERINÁRIA,UFNT,Araguaína,TO,690.4,717.11,683.41,
343388,MEDICINA VETERINÁRIA,UFOB,Barra,BA,695.43,692.35,703.27,
354433,MEDICINA VETERINÁRIA,UFPB,Areia,PB,691.72,693.02,694.42,
364209,MEDICINA VETERINÁRIA,UFPE,Sertânia,PE,675.49,684.48,686.49,
360930,MEDICINA VETERINÁRIA,UFPEL,Capão do Leão,RS,703.68,709.52,712.58,
368135,MEDICINA VETERINÁRIA,UFPI,Bom Jesus,PI,651.08,657.25,660.38,
368099,MEDICINA VETERINÁRIA,UFPI,Teresina,PI,693.58,700.86,699.4,
367054,MEDICINA VETERINÁRIA,UFPR,Palotina,PR,730.3,732.04,730.12,
367050,MEDICINA VETERINÁRIA,UFPR,Curitiba,PR,763.24,773.32,773.32,
356038,MEDICINA VETERINÁRIA,UFR,Rondonópolis,MT,685.92,698.06,694.34,
345827,MEDICINA VETERINÁRIA,UFRA,Belém,PA,779.95,778.73,781.28,
347356,MEDICINA VETERINÁRIA,UFRB,Cruz das Almas,BA,675.52,679.88,681.32,
350138,MEDICINA VETERINÁRIA,UFRGS,Porto Alegre,RS,719.0,725.31,725.31,
356365,MEDICINA VETERINÁRIA,UFRPE,Recife,PE,693.05,694.67,696.66,
346037,MEDICINA VETERINÁRIA,UFRR,Boa Vista,RR,674.27,671.53,677.69,
369214,MEDICINA VETERINÁRIA,UFRRJ,Seropédica,RJ,746.13,747.6,745.83,
365432,MEDICINA VETERINÁRIA,UFS,Nossa Senhora da Glória,SE,673.57,674.48,677.15,
365414,MEDICINA VETERINÁRIA,UFS,São Cristóvão,SE,704.19,701.85,711.06,
344261,MEDICINA VETERINÁRIA,UFSC,Curitibanos,SC,742.27,743.44,744.4,
361624,MEDICINA VETERINÁRIA,UFSM,Santa Maria,RS,728.04,729.82,731.48,
367348,MEDICINA VETERINÁRIA,UFT,Gurupi,TO,685.12,663.96,685.12,
362182,MEDICINA VETERINÁRIA,UFU,Uberlândia,MG,763.66,767.05,763.66,
368612,MEDICINA VETERINÁRIA,UFV,Viçosa,MG,736.44,737.52,736.44,
368424,MEDICINA VETERINÁRIA,UFVJM,Unaí,MG,695.0,711.22,702.23,
366956,MEDICINA VETERINÁRIA,UNEB,Barreiras,BA,698.95,700.04,707.21,
345857,MEDICINA VETERINÁRIA,UNICENTRO,Guarapuava,PR,714.6,720.45,751.63,
349804,MEDICINA VETERINÁRIA,UNIFESSPA,Xinguara,PA,688.78,688.78,692.88,
345074,MEDICINA VETERINÁRIA,UNIMONTES,Janaúba,MG,702.36,706.47,712.56,
347022,MEDICINA VETERINÁRIA,UNIPAMPA,Uruguaiana,RS,684.86,687.52,689.64,
361583,MEDICINA VETERINÁRIA,UNIVASF,Petrolina,PE,687.52,687.4,689.78,
