co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
367754,ENGENHARIA DE PRODUÇÃO,UFG,Aparecida de Goiânia,GO,735.51,742.17,742.77
350299,ENGENHARIA DE PRODUÇÃO,UFGD,Dourados,MS,612.88,629.62,646.6
356270,ENGENHARIA DE PRODUÇÃO,UFJF,Juiz de Fora,MG,716.78,719.98,720.8
361214,ENGENHARIA DE PRODUÇÃO,UFMG,Belo Horizonte,MG,760.76,762.12,762.18
366582,ENGENHARIA DE PRODUÇÃO,UFMS,Nova Andradina,MS,724.4,642.1,724.4
366570,ENGENHARIA DE PRODUÇÃO,UFMS,Campo Grande,MS,737.56,751.0,756.29
366555,ENGENHARIA DE PRODUÇÃO,UFMS,Três Lagoas,MS,769.46,746.4,746.4
343319,ENGENHARIA DE PRODUÇÃO,UFOB,Luís Eduardo Magalhães,BA,591.73,614.54,629.0
365490,ENGENHARIA DE PRODUÇÃO,UFOP,João Monlevade,MG,630.99,634.19,645.05
365491,ENGENHARIA DE PRODUÇÃO,UFOP,João Monlevade,MG,633.41,634.93,636.41
365477,ENGENHARIA DE PRODUÇÃO,UFOP,Ouro Preto,MG,647.68,665.41,668.73
365476,ENGENHARIA DE PRODUÇÃO,UFOP,Ouro Preto,MG,690.03,684.88,688.2
354415,ENGENHARIA DE PRODUÇÃO,UFPB,João Pessoa,PB,668.5,679.5,681.38
364170,ENGENHARIA DE PRODUÇÃO,UFPE,Caruaru,PE,652.69,654.87,664.1
364127,ENGENHARIA DE PRODUÇÃO,UFPE,Recife,PE,752.69,752.69,750.92
360986,ENGENHARIA DE PRODUÇÃO,UFPEL,Pelotas,RS,628.26,644.96,644.96
368178,ENGENHARIA DE PRODUÇÃO,UFPI,Teresina,PI,652.64,657.27,662.68
367117,ENGENHARIA DE PRODUÇÃO,UFPR,Jandaia do Sul,PR,707.0,726.04,739.98
367079,ENGENHARIA DE PRODUÇÃO,UFPR,Curitiba,PR,760.38,760.38,762.0
345630,ENGENHARIA DE PRODUÇÃO,UFRA,Parauapebas,PA,707.88,707.88,714.35
347348,ENGENHARIA DE PRODUÇÃO,UFRB,Feira de Santana,BA,640.92,641.82,644.14
350085,ENGENHARIA DE PRODUÇÃO,UFRGS,Porto Alegre,RS,754.99,754.06,754.06
359112,ENGENHARIA DE PRODUÇÃO,UFRJ,Macaé,RJ,725.43,728.35,734.57
358947,ENGENHARIA DE PRODUÇÃO,UFRJ,Rio de Janeiro,RJ,798.11,801.58,799.11
368058,ENGENHARIA DE PRODUÇÃO,UFRN,Currais Novos,RN,631.44,642.04,648.68
367978,ENGENHARIA DE PRODUÇÃO,UFRN,Natal,RN,726.62,727.33,722.76
367977,ENGENHARIA DE PRODUÇÃO,UFRN,Natal,RN,743.98,733.49,743.98
365457,ENGENHARIA DE PRODUÇÃO,UFS,Estância,SE,574.0,589.76,591.05
365393,ENGENHARIA DE PRODUÇÃO,UFS,São Cristóvão,SE,662.18,663.6,674.38
344274,ENGENHARIA DE PRODUÇÃO,UFSC,Florianópolis,SC,763.81,764.41,767.0
366102,ENGENHARIA DE PRODUÇÃO,UFSCAR,Sorocaba,SP,770.84,775.08,775.14
366097,ENGENHARIA DE PRODUÇÃO,UFSCAR,São Carlos,SP,803.76,807.53,807.53
363607,ENGENHARIA DE PRODUÇÃO,UFSJ,São João del Rei,MG,640.21,649.55,650.25
361887,ENGENHARIA DE PRODUÇÃO,UFSM,Santa Maria,RS,725.54,725.78,746.38
355069,ENGENHARIA DE PRODUÇÃO,UFTM,Uberaba,MG,720.33,732.93,730.13
362232,ENGENHARIA DE PRODUÇÃO,UFU,Ituiutaba,MG,727.18,739.62,746.15
368648,ENGENHARIA DE PRODUÇÃO,UFV,Rio Paranaíba,MG,626.96,635.42,651.86
368622,ENGENHARIA DE PRODUÇÃO,UFV,Viçosa,MG,702.64,709.48,710.48
368402,ENGENHARIA DE PRODUÇÃO,UFVJM,Teófilo Otoni,MG,656.24,699.26,692.47
367638,ENGENHARIA DE PRODUÇÃO,UNESPAR,Paranaguá,PR,636.95,659.03,671.64
342891,ENGENHARIA DE PRODUÇÃO,UNIFAL-MG,Poços de Caldas,MG,711.08,707.92,708.9
363468,ENGENHARIA DE PRODUÇÃO,UNIFEI,Itabira,MG,672.6,670.93,679.2
362813,ENGENHARIA DE PRODUÇÃO,UNIFEI,Itajubá,MG,764.86,765.47,765.62
347059,ENGENHARIA DE PRODUÇÃO,UNIPAMPA,Bagé,RS,579.3,592.34,603.92
364507,ENGENHARIA DE PRODUÇÃO,UNIRIO,Rio de Janeiro,RJ,708.74,710.64,707.14
361568,ENGENHARIA DE PRODUÇÃO,UNIVASF,Salgueiro,PE,559.34,559.32,559.4
361589,ENGENHARIA DE PRODUÇÃO,UNIVASF,Juazeiro,BA,647.56,650.1,653.62
364401,ENGENHARIA DE PRODUÇÃO,UTFPR,Ponta Grossa,PR,682.41,690.77,691.58
364426,ENGENHARIA DE PRODUÇÃO,UTFPR,Londrina,PR,699.29,715.43,729.76
364465,ENGENHARIA DE PRODUÇÃO,UTFPR,Curitiba,PR,757.66,802.72,790.98
364384,ENGENHARIA DE PRODUÇÃO,UTFPR,Medianeira,PR,N/A,573.59,614.11
